title,imgpath,salesprice
"Apple iPhone 14 Pro (512 GB, Deep Purple)",https://d2xamzlzrdbdbn.cloudfront.net/products/9b613209-835c-4def-bb91-ac576248298222090547.jpg,151900
"Apple iPhone 14 Pro Max (1 TB, Gold)",https://d2xamzlzrdbdbn.cloudfront.net/products/29322f47-cbf2-4ce5-94d5-c3b68deb6b6f22090634.jpg,180900
"Apple iPhone 14 (512 GB, Yellow)",https://d2xamzlzrdbdbn.cloudfront.net/products/b00845af-97f7-4ff8-b499-b445705996a923101137.jpg,103900
"Apple iPhone 14 Pro (256 GB, Gold)",https://d2xamzlzrdbdbn.cloudfront.net/products/4bc2718d-5de4-4e00-8e5a-71b9aef6318b22090533.jpg,138900
"Apple iPhone 14 Plus (512 GB, Midnight)",https://d2xamzlzrdbdbn.cloudfront.net/products/0936d6f9-d9cd-42ee-a7df-2a2b069af0a722090519.jpg,110999
"Apple iPhone 14 Pro (1 TB, Space Black)",https://d2xamzlzrdbdbn.cloudfront.net/products/be30db02-c1fa-407b-b94b-fd989ecdbe2822090502.jpg,170900
"Apple iPhone 14 Pro (512 GB, Space Black)",https://d2xamzlzrdbdbn.cloudfront.net/products/f457772c-b4f4-4e9e-852b-690aba6ebc5322090504.jpg,151900
"Apple iPhone 14 (512 GB, Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/d4af0cdc-25c3-4cbd-bb57-00574c909cee22081149.jpg,103900
"Apple iPhone 12 (128 GB, Green)",https://d2xamzlzrdbdbn.cloudfront.net/products/aeb59c96-ff3c-43e5-be94-254c2abde80a.jpg,57800
"Open Box (Demo Unit) Apple iPhone 13 Pro Max (128 GB, Sierra Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/e6d390ff-dfc9-488e-8978-85e9cc29dbb522241401.jpg,95500
"Open Box (Demo Unit) Apple iPhone 11 (64 GB, Black)",https://d2xamzlzrdbdbn.cloudfront.net/products/77a3883c-2699-4082-a6d1-9812df54372a22241350.jpg,35500
"Open Box (Demo Unit) Apple iPhone 13 (128 GB Storage, Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/c1122fc0-2864-4a0d-8502-f37c4ef8036f22241419.jpg,50500
"Open Box (Demo Unit) Apple iPhone 13 Mini (128 GB Storage, Pink)",https://d2xamzlzrdbdbn.cloudfront.net/products/d7754a2c-6dfe-42a6-88c0-a9b8ece1a7f222241433.jpg,46700
"Open Box (Demo Unit) Apple iPhone 13  Pro (128 GB, Alpine Green)",https://d2xamzlzrdbdbn.cloudfront.net/products/617bdedb-2aae-4fd9-b6bc-707d7489f3b622241421.jpg,88000
"Apple iPhone 11 (64 GB, Purple)",https://d2xamzlzrdbdbn.cloudfront.net/products/a0e4a716-1040-43a6-808c-817b38cc6c1d.jpg,40900
"Apple iPhone 14 Plus (256 GB, Midnight)",https://d2xamzlzrdbdbn.cloudfront.net/products/a47079b1-f958-405c-b7fc-ce90d5f9a1a722090519.jpg,91900
"Apple iPhone 12 (64 GB, Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/247fbe63-1134-4fd6-ba39-a32f4577fafa.jpg,54600
